source:START_ID,target:END_ID,:TYPE
F1008B,F1009B,REQUISITO_DE
TC1029,BT1013,REQUISITO_DE
F1009B,F1008,REQUISITO_DE
F1009B,F1019B,REQUISITO_DE
F1019B,F1020B,REQUISITO_DE
MA1028,MA1029,REQUISITO_DE
TC1029,TC1003B,REQUISITO_DE
TC1029,TC1030,REQUISITO_DE
MA1029,F1009,REQUISITO_DE
MA1029,F1010,REQUISITO_DE
MA1031,MA1001B,REQUISITO_DE
F1010,MA1002B,REQUISITO_DE
TC1003B,MA1036,REQUISITO_DE
MA1036,MA2001B,REQUISITO_DE
TC1029,TC2004B,REQUISITO_DE
MA1001B,TC2004B,REQUISITO_DE
TC1029,TC2032,REQUISITO_DE
TC1030,TC2032,REQUISITO_DE
TC1003B,TC2032,REQUISITO_DE
MA1036,MA2003B,REQUISITO_DE
TC2004B,MA2003B,REQUISITO_DE
MA2001B,MA2004B,REQUISITO_DE
MA1001B,MA2004B,REQUISITO_DE
MA2002B,MA2005B,REQUISITO_DE
TC2032,MA2014,REQUISITO_DE
TC2033,MA2014,REQUISITO_DE
TC2034,MA2014,REQUISITO_DE
TC2032,MA2015,REQUISITO_DE
TC2032,TC2035,REQUISITO_DE
TC2033,TC2035,REQUISITO_DE
TC2034,TC2035,REQUISITO_DE
MA2005B,MA2006B,REQUISITO_DE
